APPL_ID,ACC_DATE,Riparian,Pre1914
S004270,01/01/1966,Y,
S004294,01/01/1966,Y,
S004303,01/01/1966,Y,
S004304,01/01/1966,Y,
S011901,12/11/1984,Y,
S011962,12/11/1984,Y,
S012076,12/11/1984,Y,
S012122,12/11/1984,Y,
S012394,02/14/1986,Y,
S014554,02/28/1996,Y,
S005818,01/01/1970,Y,
S005882,01/01/1970,Y,
S005951,01/01/1970,Y,
S008684,01/28/1976,Y,
S014802,05/29/1997,Y,Y
S006211,01/01/1970,Y,
S006469,01/01/1971,Y,
S006568,01/01/1971,Y,
S008804,06/02/1976,Y,Y
S008894,12/11/1975,Y,
S014928,03/19/1998,Y,
S006755,01/01/1971,Y,
S009043,10/27/1976,Y,
S008080,01/01/1973,Y,
S008107,01/01/1973,Y,
S009392,08/22/1977,Y,Y
S015313,11/08/2002,Y,
S015358,08/16/2002,Y,
S008263,01/01/1973,Y,
S008411,01/01/1974,Y,
S009580,04/27/1978,Y,
S009689,12/22/1978,Y,
S009772,05/08/1979,Y,
S008588,01/01/1975,Y,
S009887,05/07/1979,Y,
S009896,05/29/1979,Y,
S009918,06/06/1979,Y,
S009919,06/06/1979,Y,
S009927,06/06/1979,Y,
S016102,03/20/2008,Y,
S024535,08/18/2014,Y,
S016200,04/14/2009,Y,Y
S017186,07/13/2011,Y,Y
S016676,06/23/2010,Y,
S016791,07/06/2011,Y,
S016745,06/23/2010,Y,
S016874,06/25/2010,Y,
S016157,03/04/2009,Y,
S016445,06/30/2010,Y,Y
S016382,05/05/2009,Y,Y
S016459,07/08/2010,Y,Y
S019331,04/20/2012,Y,
S021745,09/04/2012,Y,
S021551,08/21/2012,Y,
S018698,02/06/2012,Y,Y
S018683,02/16/2012,Y,
S021652,08/27/2012,Y,
S020625,02/03/2012,Y,Y
S018807,11/23/2011,Y,Y
S021877,09/14/2012,Y,
S020957,01/19/2012,Y,
S017716,05/08/2012,Y,
S020904,12/20/2011,Y,
S021150,07/25/2012,Y,Y
S021327,08/07/2012,Y,Y
S022144,10/12/2012,Y,
S018312,06/20/2012,Y,
S019559,07/03/2012,Y,
S022456,02/05/2013,Y,
S022186,10/25/2012,Y,Y
S021583,08/22/2012,Y,
S018530,11/03/2011,Y,Y
S018119,05/30/2012,Y,
S021201,07/27/2012,Y,Y
S022438,01/30/2013,Y,
S019135,11/18/2011,Y,Y
S016500,03/14/2012,Y,
S022652,05/22/2013,Y,
S019500,,Y,Y
S022548,05/06/2013,Y,
S023143,09/13/2013,Y,
S023113,09/06/2013,Y,
S023230,09/26/2013,Y,Y
