"","APPL_ID"
"703","S017300"
"704","S023901"
"705","S024329"
"706","S023724"
"707","S024332"
"708","F007190S"
"709","S021042"
"710","A024514A"
"711","S020922"
"712","S020599"
"713","S017295"
"714","S019029"
"715","S019051"
"716","UN001005"
"717","C000824"
"718","A022308"
"719","A017434"
"720","A022051"
"721","A016564"
"722","A022012"
"723","S014164"
"724","A022062"
"725","A001441"
"726","S013401"
"727","A020086"
"728","S008098"
"729","D030379R"
"730","A017191"
"731","A016157"
"732","A017190"
"733","S015332"
"734","A029863"
"735","S013731"
"736","A017152"
"737","A019573"
"738","A014319"
"739","S002532"
"740","A008791"
"741","A014409"
"742","S010463"
"743","A013971"
"744","A030842"
"745","A006080"
"746","A004699"
"747","A021714"
"748","S010482"
"749","A008356"
"750","A007036"
"751","F005512S"
"752","A009843"
"753","A016199"
"754","S018864"
"755","S019604"
"756","S021441"
"757","S022256"
"758","S022260"
"759","S022625"
"760","S023315"
"761","S022439"
"762","D031609R"
"763","F008529S"
"764","S015913"
"765","C004643"
"766","C000225"
"767","A025554"
"768","A026039"
"769","S013149"
"770","A028504"
"771","S001520"
"772","A026379"
"773","A010642"
"774","A000640"
"775","A028614"
"776","A024590"
"777","C004798"
"778","A024559"
"779","C001577"
"780","S012373"
"781","S011368"
"782","A001615"
"783","C005150"
"784","A016691"
"785","C005832"
"786","A013399"
"787","A008465"
"788","C005799"
"789","A019899"
"790","A008964"
"791","S014471"
"792","S000890"
"793","A019418"
"794","A009734"
"795","S012576"
"796","A019904"
"797","S016460"
"798","D031842R"
"799","S017098"
"800","S017944"
"801","S017851"
"802","S004095"
"803","A022562"
"804","S013753"
"805","C005948"
"806","C004362"
"807","S008429"
"808","A021097"
"809","F027400"
"810","A014978"
"811","A025835"
"812","S008270"
"813","S000955"
"814","A017798"
"815","A027695"
"816","S013178"
"817","A006332"
"818","A005678"
"819","S014466"
"820","A019561"
"821","F004555S"
"822","A012900"
"823","A026522"
"824","S013718"
"825","A001624"
"826","S012366"
"827","A016145"
"828","S014227"
"829","A009363"
"830","A019901"
"831","S020537"
"832","S020557"
"833","S017841"
"834","S020563"
"835","S020418"
"836","S023946"
"837","S024086"
"838","S023539"
"839","S024033"
"840","S024122"
"841","S002957"
"842","S004199"
"843","A001160"
"844","C001210"
"845","C001383"
"846","A027615"
"847","A014545"
"848","C001662"
"849","S008958"
"850","A011865"
"851","S000277"
"852","A012470"
"853","A019890"
"854","A028187"
"855","S000941"
"856","F011141S"
"857","S011535"
"858","C001370"
"859","A019083"
"860","A001440"
"861","A001725"
"862","A026457"
"863","S018294"
"864","A010068E"
"865","S018531"
"866","S018017"
"867","S017761"
"868","S018115"
"869","C005557"
"870","S017901"
"871","C004368"
"872","A020933"
"873","C004191"
"874","S004753"
"875","S018023"
"876","S021617"
"877","S020228"
"878","S021722"
"879","S021734"
"880","S021918"
"881","S021927"
"882","S021935"
"883","S022647"
"884","A029127"
"885","S000371"
"886","S000270"
"887","S010379"
"888","S012328"
"889","C001222"
"890","S008564"
"891","A021973"
"892","A011855"
"893","A026486"
"894","A003496"
"895","S009117"
"896","A023903"
"897","A029067"
"898","A029067"
"899","S010870"
"900","F005524S"
"901","A009269"
"902","F010943S"
"903","A007498"
"904","F010944S"
"905","F005516S"
"906","A025114"
"907","D029500R"
"908","A023344"
"909","A022630"
"910","A004959"
"911","S021013"
"912","S016391"
"913","S020919"
"914","S019330"
"915","S016540"
"916","S019549"
"917","S019580"
"918","S021100"
"919","S021850"
"920","S020168"
"921","S020185"
"922","A023417"
"923","C002068"
"924","A010107"
"925","C001263"
"926","A024376"
"927","A018225"
"928","A030454"
"929","A005993"
"930","A020768"
"931","A017664"
"932","C001236"
"933","A025320"
"934","A030192"
"935","A016859"
"936","A020320"
"937","S000878"
"938","C004212"
"939","S003414"
"940","F003431C"
"941","F026859"
"942","F007573S"
"943","F003563C"
"944","C004367"
"945","A029095"
"946","C005424"
"947","S021288"
"948","S023124"
"949","S023171"
"950","S023952"
"951","S024005"
"952","S023257"
"953","S022757"
"954","S023402"
"955","A004568"
"956","S022421"
"957","C005026"
"958","C000497"
"959","S013629"
"960","A026076"
"961","S019675"
"962","S019708"
"963","S020319"
"964","S022600"
"965","S023928"
"966","S024052"
"967","S024072"
"968","S024080"
"969","S020219"
"970","S020456"
"971","A027136"
"972","C004555"
"973","S000278"
"974","C003134"
"975","A030508"
"976","A002881"
"977","S010761"
"978","A025583"
"979","A027798"
"980","A029447"
"981","A017371"
"982","S008682"
"983","A011776"
"984","A022827"
"985","S012390"
"986","S002952"
"987","S004763"
"988","S004761"
"989","C000573"
"990","A021231B"
"991","C004400"
"992","D030285R"
"993","A022742"
"994","A007641C"
"995","A015856B"
"996","A024897"
"997","F005532S"
"998","A018823"
"999","C000527"
"1000","S002988"
"1001","A010828"
"1002","S002931"
"1003","F007543S"
"1004","S015226"
"1005","S003008"
"1006","F003599C"
"1007","A011509"
"1008","S000255"
"1009","A030546"
"1010","S002933"
"1011","A022399"
"1012","S021019"
"1013","S022291"
"1014","S019443"
"1015","S021085"
"1016","S017005"
"1017","S022322"
"1018","S021090"
"1019","S016789"
"1020","S018736"
"1021","S000247"
"1022","S001259"
"1023","A018896"
"1024","S009901"
"1025","F004521S"
"1026","S001298"
"1027","S000244"
"1028","C002492"
"1029","A009392"
"1030","S013618"
"1031","A015433"
"1032","A020512"
"1033","A030983"
"1034","A020678"
"1035","S010969"
"1036","S015803"
"1037","E000027"
"1038","A020691"
"1039","S012399"
"1040","C000454"
"1041","A020146"
"1042","S003112"
"1043","S008973"
"1044","A026924"
"1045","A027819"
"1046","A009800"
"1047","S012343"
"1048","A019747"
"1049","A012899"
"1050","A014907"
"1051","A030268"
"1052","S018016"
"1053","S017739"
"1054","A031771"
"1055","S016433"
"1056","S017220"
"1057","A004275"
"1058","A003914"
"1059","A022754"
"1060","S002992"
"1061","S000883"
"1062","S012470"
"1063","F026212"
"1064","F008174S"
"1065","A030208"
"1066","S001096"
"1067","S004078"
"1068","A026288"
"1069","A000930"
"1070","C004495"
"1071","A029321"
"1072","S007603"
"1073","S017234"
"1074","A018333"
"1075","S016210"
"1076","A015374"
"1077","A010068B"
"1078","A020933"
"1079","S003207"
"1080","S022732"
"1081","S024346"
"1082","S022425"
"1083","A016326"
